track_name,artist_name,album_name,release_date,song_popularity,artist_id,genre,genres
Swan Upon Leda,Hozier,Swan Upon Leda,2022-10-07,55,2FXC3k01G6Gw61bmprjgqS,[],"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']"
Tonight (I Wish I Was Your Boy),The 1975,Notes On A Conditional Form,2020-05-22,52,3mIj9lX2MWuHmhNCA7LSCW,[],"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
The Birthday Party,The 1975,Notes On A Conditional Form,2020-05-22,50,3mIj9lX2MWuHmhNCA7LSCW,[],"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
You,The 1975,The 1975 (Deluxe),2013-09-02,45,3mIj9lX2MWuHmhNCA7LSCW,[],"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
Sex,The 1975,The 1975,2013-01-01,58,3mIj9lX2MWuHmhNCA7LSCW,[],"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
So Good at Being in Trouble,Unknown Mortal Orchestra,II (10 Year Anniversary Edition),2023-03-16,62,1LeVJ5GPeYDOVUjxx1y7Rp,[],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
Hunnybee,Unknown Mortal Orchestra,Sex & Food,2018-04-06,59,1LeVJ5GPeYDOVUjxx1y7Rp,[],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
That Life,Unknown Mortal Orchestra,V,2023-03-17,54,1LeVJ5GPeYDOVUjxx1y7Rp,[],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
Multi-Love,Unknown Mortal Orchestra,Multi-Love,2015-05-26,55,1LeVJ5GPeYDOVUjxx1y7Rp,[],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
Nadja,Unknown Mortal Orchestra,V,2023-03-17,45,1LeVJ5GPeYDOVUjxx1y7Rp,[],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
Swim and Sleep (Like a Shark),Unknown Mortal Orchestra,II (10 Year Anniversary Edition),2023-03-16,52,1LeVJ5GPeYDOVUjxx1y7Rp,[],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
Under Control,The Strokes,Room On Fire,2003-10-28,55,0epOFNiUfyON9EYx7Tpr6V,[],"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
Fried Rice,Royel Otis,PRATTS & PAIN,2024-02-16,48,5b5bt4mZQpJMoCRbiQ7diH,[],['australian indie rock']
Kool Aid,Royel Otis,Sofa Kings,2023-03-31,64,5b5bt4mZQpJMoCRbiQ7diH,[],['australian indie rock']
Bull Breed,Royel Otis,Bull Breed,2022-05-31,53,5b5bt4mZQpJMoCRbiQ7diH,[],['australian indie rock']
Menswear,The 1975,The 1975,2013-01-01,45,3mIj9lX2MWuHmhNCA7LSCW,[],"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
Layla,Unknown Mortal Orchestra,V,2023-03-17,42,1LeVJ5GPeYDOVUjxx1y7Rp,[],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']"
Crystalised,The xx,xx,2009-08-16,67,3iOvXCl6edW5Um0fXEBRXy,[],"['downtempo', 'dream pop', 'indietronica']"
Happiness,The 1975,Being Funny In A Foreign Language,2022-10-14,61,3mIj9lX2MWuHmhNCA7LSCW,[],"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
So Far (It's Alright),The 1975,The 1975 (Deluxe),2013-09-02,45,3mIj9lX2MWuHmhNCA7LSCW,[],"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
