danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song,artist
0.351,0.41,2,-8.66,1,0.0327,0.494,0.44,0.131,0.129,125.995,audio_features,3JtVtwLYCy9WXcHLQyzRnl,spotify:track:3JtVtwLYCy9WXcHLQyzRnl,https://api.spotify.com/v1/tracks/3JtVtwLYCy9WXcHLQyzRnl,https://api.spotify.com/v1/audio-analysis/3JtVtwLYCy9WXcHLQyzRnl,222026,4,Swan Upon Leda,Hozier
0.478,0.456,7,-6.844,1,0.0529,0.122,1.98e-05,0.214,0.268,171.9,audio_features,7DmTaJoM7L020qm3egqNsM,spotify:track:7DmTaJoM7L020qm3egqNsM,https://api.spotify.com/v1/tracks/7DmTaJoM7L020qm3egqNsM,https://api.spotify.com/v1/audio-analysis/7DmTaJoM7L020qm3egqNsM,247265,4,Tonight (I Wish I Was Your Boy),The 1975
0.627,0.495,2,-8.934,1,0.0287,0.0681,0.104,0.124,0.452,134.01,audio_features,3wFPsw1WQJevCFoKpoLyTF,spotify:track:3wFPsw1WQJevCFoKpoLyTF,https://api.spotify.com/v1/tracks/3wFPsw1WQJevCFoKpoLyTF,https://api.spotify.com/v1/audio-analysis/3wFPsw1WQJevCFoKpoLyTF,285833,4,The Birthday Party,The 1975
0.215,0.0132,0,-6.102,1,0.0567,0.00662,0.00413,0.159,0.966,137.96,audio_features,1vrXDFIfPVfDOH2rM7gFnc,spotify:track:1vrXDFIfPVfDOH2rM7gFnc,https://api.spotify.com/v1/tracks/1vrXDFIfPVfDOH2rM7gFnc,https://api.spotify.com/v1/audio-analysis/1vrXDFIfPVfDOH2rM7gFnc,591160,5,You,The 1975
0.41,0.974,2,-4.139,1,0.125,1.31e-05,4.86e-05,0.526,0.173,148.298,audio_features,67ispalOAo3jnZWYSTTfZk,spotify:track:67ispalOAo3jnZWYSTTfZk,https://api.spotify.com/v1/tracks/67ispalOAo3jnZWYSTTfZk,https://api.spotify.com/v1/audio-analysis/67ispalOAo3jnZWYSTTfZk,207002,4,Sex,The 1975
0.829,0.435,0,-10.136,1,0.0515,0.0363,0.881,0.119,0.594,103.817,audio_features,3DXHaJzqRCgv3rd5U9EoXU,spotify:track:3DXHaJzqRCgv3rd5U9EoXU,https://api.spotify.com/v1/tracks/3DXHaJzqRCgv3rd5U9EoXU,https://api.spotify.com/v1/audio-analysis/3DXHaJzqRCgv3rd5U9EoXU,230147,4,So Good at Being in Trouble,Unknown Mortal Orchestra
0.956,0.377,6,-7.965,1,0.0804,0.566,0.414,0.313,0.566,119.993,audio_features,6AAYNz8jXvVlgG9IpYi42Z,spotify:track:6AAYNz8jXvVlgG9IpYi42Z,https://api.spotify.com/v1/tracks/6AAYNz8jXvVlgG9IpYi42Z,https://api.spotify.com/v1/audio-analysis/6AAYNz8jXvVlgG9IpYi42Z,268333,4,Hunnybee,Unknown Mortal Orchestra
0.926,0.63,3,-5.245,1,0.0475,0.0724,0.00618,0.107,0.928,123.334,audio_features,0M2hckQzSt0AZFytuTC2Hp,spotify:track:0M2hckQzSt0AZFytuTC2Hp,https://api.spotify.com/v1/tracks/0M2hckQzSt0AZFytuTC2Hp,https://api.spotify.com/v1/audio-analysis/0M2hckQzSt0AZFytuTC2Hp,215867,4,That Life,Unknown Mortal Orchestra
0.784,0.506,3,-5.243,0,0.0404,0.571,0.0,0.139,0.544,120.139,audio_features,1XKAeevAbxSSMuTcRT0APS,spotify:track:1XKAeevAbxSSMuTcRT0APS,https://api.spotify.com/v1/tracks/1XKAeevAbxSSMuTcRT0APS,https://api.spotify.com/v1/audio-analysis/1XKAeevAbxSSMuTcRT0APS,250800,4,Multi-Love,Unknown Mortal Orchestra
0.834,0.362,10,-7.851,0,0.0505,0.851,0.567,0.105,0.598,79.988,audio_features,2AojQfi1k8pgwyg1Ii0Ly8,spotify:track:2AojQfi1k8pgwyg1Ii0Ly8,https://api.spotify.com/v1/tracks/2AojQfi1k8pgwyg1Ii0Ly8,https://api.spotify.com/v1/audio-analysis/2AojQfi1k8pgwyg1Ii0Ly8,246720,4,Nadja,Unknown Mortal Orchestra
